date,underlying,underlying_name,call_value,call_volume,call_trades,call_up_value,call_down_value,call_n,put_value,put_volume,put_trades,put_up_value,put_down_value,put_n,call_spread,call_quote_ratio,call_bidqty,call_askqty
2026-01-02,2348,海悅,5320.0,11000.0,2.0,320.0,5000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2351,順德,67300.0,102000.0,19.0,2800.0,64500.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2352,佳世達,77900.0,335000.0,10.0,33800.0,18700.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2353,宏碁,1069000.0,2108000.0,100.0,7800.0,1053360.0,12.0,820.0,1000.0,1.0,0.0,820.0,1.0,,,,
2026-01-02,2354,鴻準,3147290.0,2987000.0,86.0,356160.0,904980.0,30.0,29600.0,80000.0,1.0,0.0,29600.0,1.0,,,,
2026-01-02,2355,敬鵬,69860.0,159000.0,18.0,9190.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2356,英業達,8143490.0,11364000.0,461.0,7950220.0,0.0,47.0,10990.0,13000.0,2.0,0.0,10990.0,1.0,,,,
2026-01-02,2357,華碩,9277200.0,10328000.0,380.0,6248630.0,2593720.0,37.0,50760.0,45000.0,6.0,0.0,1720.0,3.0,,,,
2026-01-02,2359,所羅門,1116150.0,2730000.0,66.0,600890.0,0.0,26.0,140550.0,66000.0,3.0,0.0,0.0,2.0,,,,
2026-01-02,2360,致茂,7292240.0,5098000.0,295.0,6313730.0,150600.0,79.0,60320.0,100000.0,5.0,0.0,60320.0,3.0,,,,
2026-01-02,2363,矽統,541000.0,727000.0,24.0,235070.0,11240.0,9.0,69620.0,40000.0,12.0,0.0,10480.0,2.0,,,,
2026-01-02,2365,昆盈,152370.0,145000.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2367,燿華,6931520.0,8208000.0,232.0,5160460.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2368,金像電,26138700.0,14719000.0,1117.0,0.0,23591850.0,149.0,1403640.0,3626000.0,130.0,1316120.0,40.0,21.0,,,,
2026-01-02,2369,菱生,5177900.0,3238000.0,112.0,5019320.0,121520.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2371,大同,2364840.0,5858000.0,223.0,10850.0,2278940.0,34.0,22630.0,16000.0,3.0,22630.0,0.0,2.0,,,,
2026-01-02,2374,佳能,4568520.0,4904000.0,185.0,3952090.0,0.0,59.0,41970.0,39000.0,2.0,0.0,0.0,2.0,,,,
2026-01-02,2375,凱美,8514490.0,8083000.0,387.0,7987850.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2376,技嘉,10436650.0,17926000.0,392.0,8524310.0,14080.0,64.0,561560.0,649000.0,9.0,0.0,535460.0,5.0,,,,
2026-01-02,2377,微星,1323570.0,3145000.0,67.0,207410.0,1114240.0,14.0,3320.0,1000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,2379,瑞昱,1783900.0,1879000.0,65.0,758990.0,887750.0,11.0,28420.0,30000.0,5.0,0.0,28420.0,2.0,,,,
2026-01-02,2383,台光電,13493060.0,9822000.0,510.0,1710.0,12570560.0,116.0,645970.0,1057000.0,45.0,527150.0,3000.0,20.0,,,,
2026-01-02,2385,群光,190220.0,172000.0,10.0,0.0,4480.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2388,威盛,268270.0,822000.0,47.0,0.0,253590.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2392,正崴,54810.0,180000.0,8.0,10570.0,0.0,5.0,73860.0,28000.0,6.0,0.0,73860.0,1.0,,,,
2026-01-02,2393,億光,1387160.0,1675000.0,54.0,0.0,1235700.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2401,凌陽,4420.0,7000.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2402,毅嘉,9459370.0,6746000.0,397.0,4437480.0,2527060.0,66.0,81880.0,253000.0,25.0,3580.0,78300.0,5.0,,,,
2026-01-02,2404,漢唐,51627740.0,40732000.0,1534.0,49455260.0,591230.0,175.0,82890.0,112000.0,12.0,0.0,82890.0,7.0,,,,
2026-01-02,2408,南亞科,34453210.0,2594000.0,600.0,16721610.0,25900.0,40.0,59120.0,2271000.0,57.0,1120.0,39330.0,11.0,,,,
2026-01-02,2409,友達,12261390.0,25728000.0,630.0,11546520.0,461970.0,55.0,121180.0,76000.0,6.0,121180.0,0.0,1.0,,,,
2026-01-02,2419,仲琦,1900960.0,2294000.0,46.0,1861800.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2421,建準,2903890.0,2864000.0,129.0,0.0,2285850.0,56.0,45200.0,40000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,2428,興勤,6898790.0,10209000.0,233.0,6870910.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2436,偉詮電,17410.0,41000.0,5.0,0.0,17090.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2439,美律,277170.0,487000.0,29.0,0.0,236790.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2449,京元電子,80187490.0,38576000.0,2499.0,79462610.0,46750.0,166.0,2034630.0,2991000.0,105.0,0.0,2028260.0,12.0,,,,
2026-01-02,2451,創見,37869610.0,27079000.0,1279.0,37557320.0,0.0,65.0,125960.0,381000.0,19.0,0.0,107710.0,5.0,,,,
2026-01-02,2454,聯發科,108103920.0,107579000.0,4133.0,104559280.0,20010.0,419.0,936690.0,1347000.0,51.0,0.0,908590.0,19.0,,,,
2026-01-02,2455,全新,2483200.0,3084000.0,97.0,0.0,2133690.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2457,飛宏,952660.0,1109000.0,62.0,651800.0,239240.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2458,義隆,554440.0,1364000.0,17.0,315720.0,210990.0,7.0,19600.0,20000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,2464,盟立,1050030.0,1788000.0,37.0,629050.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2467,志聖,38248390.0,24388000.0,1140.0,38182990.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2472,立隆電,29830300.0,27009000.0,934.0,27451530.0,0.0,70.0,11310.0,17000.0,5.0,0.0,0.0,1.0,,,,
2026-01-02,2474,可成,1644680.0,1528000.0,82.0,74020.0,1475570.0,24.0,41730.0,39000.0,1.0,0.0,41730.0,1.0,,,,
2026-01-02,2476,鉅祥,1400480.0,2525000.0,100.0,718210.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2478,大毅,1788370.0,2433000.0,146.0,1370260.0,0.0,16.0,5750.0,5000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,2481,強茂,1359110.0,1486000.0,105.0,99990.0,715730.0,42.0,11870.0,8000.0,2.0,10640.0,0.0,2.0,,,,
2026-01-02,2486,一詮,7299500.0,7350000.0,294.0,4822540.0,1806270.0,55.0,129880.0,81000.0,5.0,3600.0,0.0,3.0,,,,
2026-01-02,2489,瑞軒,180.0,1000.0,1.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2492,華新科,32356130.0,38178000.0,1227.0,31091190.0,0.0,96.0,205240.0,222000.0,7.0,0.0,205240.0,2.0,,,,
2026-01-02,2493,揚博,7874910.0,5184000.0,150.0,7615730.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2495,普安,416260.0,121000.0,9.0,416260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2497,怡利電,175530.0,629000.0,25.0,167530.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
