date,code,name,verdict,score,streak,vol_mult,buy_days,sell_days,call_net_win,call_val_win,put_call_win,buy_ratio,blk_n,blk_value,blk_last,blk_dir,blk_wdir,blk_prem,blk_inst_ratio,window,win_len
2026-07-02,1301,台塑,unclear,2.1607263796612,1,2.1607263796612,6,4,70665790.0,149726500.0,0.001480232290209148,0.8112793799203433,1,33180910.0,2026-06-23,neutral,0.0,0.15257315842583252,-9.516352622637534,10,10.0
2026-07-02,1303,南亞,unclear,2.735244020280923,3,0.9117480067603076,7,3,211688770.0,489818790.0,0.016992141114063837,0.9417818590761142,2,172877150.0,2026-07-02,neutral,0.0,-0.12360285598228789,27.374433116233117,10,10.0
2026-07-02,1326,台化,lean_buy,8.621786431790063,4,2.155446607947516,8,2,57044560.0,172157600.0,0.011235112478333805,0.964272561307337,2,35820200.0,2026-06-23,neutral,0.0,0.08516350089199942,-36.870130468283264,10,10.0
2026-07-02,1423,利華,unclear,0.0,0,,0,0,0.0,0.0,,0.0,2,75859750.0,2026-06-25,buy,0.5,0.10176052316873126,-0.010633648278566698,10,10.0
2026-07-02,1436,華友聯,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,134850000.0,2026-07-01,neutral,0.0,0.0,0.037333333333333336,10,10.0
2026-07-02,1466,聚隆,unclear,0.0,0,,0,0,0.0,0.0,,0.0,2,26660950.0,2026-07-02,sell,-0.5,-0.17887333246062684,0.08402426395158463,10,10.0
2026-07-02,1472,三洋實業,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,456290053.0,2026-06-17,buy,0.5,0.0978021978021979,0.00019943454695471962,10,10.0
2026-07-02,1519,華城,sell_avoid,0.1522085704443311,1,0.3044171408886622,4,6,4372570.0,91591310.0,0.04409173752400746,0.7606106479926614,2,181707000.0,2026-06-29,sell,-0.5,0.0005796172564651469,-3.500202017533722,10,10.0
2026-07-02,2002,中鋼,unclear,0.0,0,0.44548898114816815,2,8,-1995200.0,14095850.0,0.0,0.10542690223129443,1,96416800.0,2026-06-18,buy,0.5,0.0,6.859949484944533,10,10.0
2026-07-02,2027,大成鋼,sell_avoid,0.0,0,1.621089427916239,4,6,-13493500.0,69568440.0,0.0,0.019046716332902006,1,17399200.0,2026-06-30,sell,-1.0,-0.09789343246592319,-4.425466814566187,10,10.0
2026-07-02,2101,南港,unclear,0.0,0,0.0,0,0,0.0,0.0,,0.0,5,650163002.0,2026-06-29,neutral,-0.10518458261948287,-0.0031786859234868253,0.02894015268804852,10,10.0
2026-07-02,2106,建大,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,11979030.0,2026-06-17,neutral,0.0,0.10816901408450708,-0.6363416111321201,10,10.0
2026-07-02,2211,長榮鋼,unclear,0.0,0,0.0,0,2,-45560.0,100710.0,0.0,0.0,1,20871500.0,2026-06-30,sell,-1.0,-0.10010649627263046,-0.5513787844668567,10,10.0
2026-07-02,2301,光寶科,unclear,0.0,0,1.395542422261616,4,6,28384470.0,275705560.0,0.006881435397965859,0.2764553516414753,2,118290095.0,2026-06-17,neutral,-0.1500050152128122,-0.0030333328556939616,-0.39431467190892017,10,10.0
